	font_file	suffix	family_name	style_name	postscript_name	num_faces	num_glyphs	has_multiple_masters	variation_axes_count	variable_font_weight	min_font_weight	max_font_weight	charmap_encoding_name	has_horizontal	has_vertical	has_kerning	has_fixed_sizes	num_fixed_sizes	is_fixed_width	is_scalable	has_glyph_names	units_per_EM	face_format	is_sfnt	sfnt_name_count	is_tricky
143	NotoSansSinhalaUI-Black.ttf	ttf	Noto Sans Sinhala UI	Black	NotoSansSinhalaUI-Black	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
144	NotoSansSinhalaUI-Condensed.ttf	ttf	Noto Sans Sinhala UI	Condensed	NotoSansSinhalaUI-Condensed	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
145	NotoSansSinhalaUI-CondensedBlack.ttf	ttf	Noto Sans Sinhala UI	Condensed Black	NotoSansSinhalaUI-CondensedBlack	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
146	NotoSansSinhalaUI-Regular.ttf	ttf	Noto Sans Sinhala UI	Regular	NotoSansSinhalaUI-Regular	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
147	NotoSansSinhalaUI-SemiCondensed.ttf	ttf	Noto Sans Sinhala UI	SemiCondensed	NotoSansSinhalaUI-SemiCondensed	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
148	NotoSansSinhalaUI-SemiCondensedBlack.ttf	ttf	Noto Sans Sinhala UI	SemiCondensed Black	NotoSansSinhalaUI-SemiCondensedBlack	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
149	NotoSansSylotiNagri-Regular.ttf	ttf	Noto Sans Syloti Nagri	Regular	NotoSansSylotiNagri	1	85	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	False	2048	TrueType	True	15	False
150	NotoSansSymbols-Black.ttf	ttf	Noto Sans Symbols	Black	NotoSansSymbols-Black	1	1216	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
151	NotoSansSymbols-Regular.ttf	ttf	Noto Sans Symbols	Regular	NotoSansSymbols-Regular	1	1216	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
152	NotoSansSymbols2-Regular.ttf	ttf	Noto Sans Symbols2	Regular	NotoSansSymbols2-Regular	1	2277	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
153	NotoSansTaiLe-Regular.ttf	ttf	Noto Sans Tai Le	Regular	NotoSansTaiLe	1	66	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	2048	TrueType	True	15	False
154	NotoSansTamil-Black.ttf	ttf	Noto Sans Tamil	Black	NotoSansTamil-Black	1	240	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
155	NotoSansTamil-Condensed.ttf	ttf	Noto Sans Tamil	Condensed	NotoSansTamil-Condensed	1	240	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
156	NotoSansTamil-CondensedBlack.ttf	ttf	Noto Sans Tamil	Condensed Black	NotoSansTamil-CondensedBlack	1	240	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
157	NotoSansTamil-Regular.ttf	ttf	Noto Sans Tamil	Regular	NotoSansTamil-Regular	1	240	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
158	NotoSansTamil-SemiCondensed.ttf	ttf	Noto Sans Tamil	SemiCondensed	NotoSansTamil-SemiCondensed	1	240	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
